sale_value,stocks_purchased,date_purchased,date_sold,gain_loss,gain_loss_perc
1000,"TEST, TEST",2018-01-01,2018-01-01,9999,9999
888.5460216776828,"SBUX, TWTR, WMT",2015-12-11,2016-01-20,-111.4539783223172,-11.145397832231719
936.6634547537435,"JD, TSLA, TWTR",2016-01-27,2016-03-07,48.117433076060706,5.415300040982587
1010.420071576962,"KR, GPRO, TSLA",2016-03-10,2016-04-19,73.75661682321845,7.874398904845675
993.1552498243229,"FB, TSLA, KR",2016-04-22,2016-06-01,-17.264821752639023,-1.7086776320361319
1048.6029676028877,"JD, GPRO, NVDA",2016-06-06,2016-07-16,55.447717778564765,5.582985921725006
1087.4082203723583,"WM, NVDA, TWTR",2016-07-19,2016-08-28,38.8052527694706,3.700662116013235
1159.5083010235387,"JD, NVDA, TWTR",2016-08-30,2016-10-09,72.1000806511804,6.630452051069778
1079.206610569289,"BABA, NKE, TSLA",2016-10-12,2016-11-21,-80.30169045424964,-6.925495089889784
1163.9548475970344,"NVDA, SBUX, TSLA",2016-11-23,2017-01-02,84.74823702774529,7.852827827197982
1232.5675027927325,"CBS, CSCO, NVDA",2017-01-09,2017-02-18,68.61265519569815,5.894786669547178
1235.2046337772958,"CMCSA, CSCO, TMUS",2017-02-22,2017-04-03,2.6371309845633277,0.2139542847420654
1216.7464387081209,"BAC, F, KR",2017-04-05,2017-05-15,-18.458195069174963,-1.494343088135057
1281.1064776802089,"GE, JD, F",2017-05-18,2017-06-27,64.36003897208798,5.289519403929563
1338.2134401160301,"NVDA, TSLA, F",2017-06-30,2017-08-09,57.10696243582129,4.457628107480102
1341.4263318709413,"GPRO, NFLX, SPWR",2017-08-14,2017-09-23,3.2128917549111975,0.24008813979873217
1387.1374914410185,"SPWR, BABA, GPRO",2017-09-26,2017-11-05,45.71115957007714,3.4076533674661023
1370.9802002163,"SPWR, ADBE, NVDA",2017-11-07,2017-12-17,-16.157291224718392,-1.164793780314704
1770.530357879214,"JD, NFLX, NVDA",2017-12-20,2018-01-29,399.550157662914,29.143393726610846
1637.3438573814012,"KR, SPWR, T",2018-02-05,2018-03-17,-133.18650049781286,-7.522407051938211
1651.9455392425793,"NFLX, SPWR, TWTR",2018-03-20,2018-04-29,14.601681861178122,0.891790798576088
1804.4148488870785,"SPWR, TSLA, TWTR",2018-05-02,2018-06-11,152.46930964449916,9.229681367970924
1629.4999018708666,"TSLA, BABA, GE",2018-06-14,2018-07-24,-174.91494701621195,-9.693721326007458
1647.3858934283135,"KR, NFLX, TWTR",2018-07-27,2018-09-05,17.885991557446914,1.0976368600520683
1531.3247823510626,"BABA, FB, TWTR",2018-09-10,2018-10-20,-116.06111107725087,-7.0451684417256
1620.1559410781908,"NVDA, TSLA, F",2018-10-22,2018-12-01,88.83115872712824,5.800935226212732
1733.47834169436,"NVDA, NFLX, GE",2018-12-04,2019-01-13,113.32240061616926,6.994536621009136
1904.783321940737,"F, GE, NFLX",2019-01-18,2019-02-27,171.304980246377,9.882152901831917
1895.605179872417,"GE, GPRO, NFLX",2019-03-05,2019-04-14,-9.178142068320085,-0.4818470406895783
1606.137194625898,"GE, NVDA, TSLA",2019-04-16,2019-05-26,-289.467985246519,-15.270478700949822
1680.986353314181,"FB, GPRO, TSLA",2019-05-30,2019-07-09,74.84915868828307,4.660197082710419
