sale_value,stocks_purchased,date_purchased,date_sold,gain_loss,gain_loss_perc
1000,"TEST, TEST",2018-01-01,2018-01-01,9999,9999
931.5549506177208,"AMT, LB, ETFC, HRL",2015-12-09,2016-01-25,-68.4450493822792,-6.844504938227919
908.0422131205881,"CNC, BSX, ROP, PFE",2016-01-25,2016-03-08,-23.51273749713266,-2.5240311890931606
939.1887191183297,"CNC, FDX, HRL, COO",2016-03-08,2016-04-20,31.146505997741542,3.430072473250237
