sale_value,stocks_purchased,date_purchased,date_sold,gain_loss,gain_loss_perc
1000,"TEST, TEST",2018-01-01,2018-01-01,9999,9999
1099.900426451842,"NKE, NVDA, SPWR",2017-09-22,2017-11-03,99.9004264518419,9.99004264518419
1174.4171903647468,"CMCSA, NVDA, TSLA",2017-11-03,2017-12-18,74.51676391290493,6.774864535082312
1340.4681883038418,"AMAT, KR, NVDA",2017-12-18,2018-02-01,166.05099793909494,14.139012890940684
1336.2518686377725,"BAC, KR, NFLX",2018-02-01,2018-03-16,-4.216319666069239,-0.31454082259157146
1404.5966539816245,"NVDA, NFLX, SPWR",2018-03-16,2018-04-30,68.34478534385198,5.114663406497259
1523.1031553990426,"CMCSA, NVDA, FB",2018-04-30,2018-06-12,118.50650141741812,8.437048535000175
1611.339479807877,"GILD, SPWR, FB",2018-06-12,2018-07-25,88.23632440883443,5.793194249257341
1607.9098805678043,"SPWR, NVDA, NFLX",2018-07-25,2018-09-06,-3.4295992400727755,-0.21284150751905445
1659.5671417265562,"GILD, NFLX, SPWR",2018-09-06,2018-10-18,51.65726115875191,3.2126962949260616
1538.8948447950722,"NVDA, FB, TSLA",2018-10-18,2018-11-30,-120.67229693148397,-7.271311530423572
1624.5868096700885,"NVDA, FB, GE",2018-11-30,2019-01-16,85.69196487501631,5.568409379292419
1798.622103486126,"GE, CBS, WMT",2019-01-16,2019-03-01,174.03529381603744,10.712588135033515
1790.3229881464358,"NFLX, GE, AMAT",2019-03-01,2019-04-12,-8.299115339690161,-0.46141517573950896
1455.937654024649,"NFLX, NVDA, TSLA",2019-04-12,2019-05-28,-334.38533412178685,-18.67737477179936
1635.993140524311,"GE, NVDA, TSLA",2019-05-28,2019-07-10,180.05548649966204,12.36697780306283
