DAU,Type,total_acres,refuge_acres,percent_disturbed
D29,Servere_Winter,21213.91894209661,18747.97329117191,0.11624187203012784
D29,Winter_Concentration,16656.016018115355,14197.26044236191,0.14761966925819847
D29,Winter_Range,52514.53848733046,46500.02451486069,0.11453045472199692
D30,Servere_Winter,5017.875788792,926.01350719581,0.8154570686535989
D30,Winter_Concentration,3339.66393412513,700.4903431335,0.7902512477450809
D30,Winter_Range,15571.68549724769,9976.68198849219,0.3593062234492485
D52,Servere_Winter,279.76139733988003,262.52906397988,0.06159653734880587
D52,Winter_Concentration,279.76139733987003,262.52906397986,0.061596537348843836
D52,Winter_Range,8967.453495960941,8090.222454274662,0.09782387408882529
E24,Servere_Winter,408424.0564992692,355865.20820632007,0.1286869552774328
E24,Winter_Concentration,109922.1084858845,94128.67679171891,0.14367839110540423
E24,Winter_Range,655118.0679764368,575409.4120025047,0.12167067261652609
E30,Servere_Winter,4415.795537332669,3541.680131659768,0.19795196545737354
E30,Winter_Concentration,2750.1968558019453,2475.343902595586,0.09993937438569775
E30,Winter_Range,10618.397270943522,9572.290860011613,0.09851829652244255
E31,Servere_Winter,9178.28612579977,4199.3201491079,0.5424722991252375
E31,Winter_Concentration,6968.84318039883,3677.787521650109,0.4722527934055724
E31,Winter_Range,16921.24805777352,11144.58423178574,0.3413852102554583
